,file,is_background,date_time,location,speed_kmh,sample_pos,daytime,weather,vehicle,source_direction,microphone,channel
0,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10077440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10077440,None,None,None,None,SE,CH34
1,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10173440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10173440,None,None,None,None,SE,CH34
2,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10269440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10269440,None,None,None,None,SE,CH34
3,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10365440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10365440,None,None,None,None,SE,CH34
4,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10461440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10461440,None,None,None,None,SE,CH34
5,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10557440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10557440,None,None,None,None,SE,CH34
6,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10653440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10653440,None,None,None,None,SE,CH34
7,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10749440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10749440,None,None,None,None,SE,CH34
8,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10845440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10845440,None,None,None,None,SE,CH34
9,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1116695_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1116695,M,D,C,R,SE,CH34
10,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1137602_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1137602,M,D,C,L,SE,CH34
11,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11398656_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11398656,None,None,None,None,SE,CH34
12,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1141442_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1141442,M,D,C,R,SE,CH34
13,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11494656_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11494656,None,None,None,None,SE,CH34
14,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11590656_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11590656,None,None,None,None,SE,CH34
15,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1172589_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1172589,M,D,C,L,SE,CH34
16,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12135936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12135936,None,None,None,None,SE,CH34
17,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12231936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12231936,None,None,None,None,SE,CH34
18,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12327936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12327936,None,None,None,None,SE,CH34
19,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1238893_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1238893,M,D,C,L,SE,CH34
20,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12423936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12423936,None,None,None,None,SE,CH34
21,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12519936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12519936,None,None,None,None,SE,CH34
22,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12615936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12615936,None,None,None,None,SE,CH34
23,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1264066_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1264066,M,D,C,R,SE,CH34
24,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1266200_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1266200,M,D,C,R,SE,CH34
25,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12711936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12711936,None,None,None,None,SE,CH34
26,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12807936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12807936,None,None,None,None,SE,CH34
27,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1288557_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1288557,M,D,C,R,SE,CH34
28,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12903936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12903936,None,None,None,None,SE,CH34
29,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12999936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12999936,None,None,None,None,SE,CH34
30,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13095936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13095936,None,None,None,None,SE,CH34
31,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1349400_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1349400,M,D,C,R,SE,CH34
32,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13577727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13577727,None,None,None,None,SE,CH34
33,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13673727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13673727,None,None,None,None,SE,CH34
34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13769727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13769727,None,None,None,None,SE,CH34
35,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13865727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13865727,None,None,None,None,SE,CH34
36,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13961727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13961727,None,None,None,None,SE,CH34
37,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14057727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14057727,None,None,None,None,SE,CH34
38,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1414168_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1414168,M,D,C,R,SE,CH34
39,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14153727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14153727,None,None,None,None,SE,CH34
40,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1419885_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1419885,M,D,C,L,SE,CH34
41,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14249727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14249727,None,None,None,None,SE,CH34
42,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14345727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14345727,None,None,None,None,SE,CH34
43,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1438658_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1438658,M,D,C,R,SE,CH34
44,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14441727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14441727,None,None,None,None,SE,CH34
45,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14537727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14537727,None,None,None,None,SE,CH34
46,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14633727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14633727,None,None,None,None,SE,CH34
47,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14729727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14729727,None,None,None,None,SE,CH34
48,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14825727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14825727,None,None,None,None,SE,CH34
49,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1484141_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1484141,M,D,C,L,SE,CH34
50,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14921727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14921727,None,None,None,None,SE,CH34
51,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1500952_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1500952,M,D,C,L,SE,CH34
52,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15017727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15017727,None,None,None,None,SE,CH34
53,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15113727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15113727,None,None,None,None,SE,CH34
