time,Data,airtime,coding_rate,data_rate,frequency,gateway,rssi,sensor,snr
2021-06-11 00:04:27.147341+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-99.0,mdot-six,6.8
2021-06-11 00:09:31.028023+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-100.0,mdot-six,6.2
2021-06-11 00:14:34.899124+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-103.0,mdot-six,4.8
2021-06-11 00:19:38.769782+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-107.0,mdot-six,6.0
2021-06-11 00:24:42.640304+00:00,0.36,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-100.0,mdot-six,4.2
2021-06-11 00:29:46.519260+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-111.0,mdot-six,4.5
2021-06-11 00:34:50.387586+00:00,0.36,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-109.0,mdot-six,0.2
2021-06-11 00:39:54.269420+00:00,0.36,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-115.0,mdot-six,0.5
2021-06-11 00:44:58.144282+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-114.0,mdot-six,-2.2
2021-06-11 00:50:02.015594+00:00,0.36,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-100.0,mdot-six,6.0
2021-06-11 00:55:05.886677+00:00,0.36,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-99.0,mdot-six,6.8
2021-06-11 01:00:09.760944+00:00,0.36,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-105.0,mdot-six,3.5
2021-06-11 01:05:13.635817+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-101.0,mdot-six,6.0
2021-06-11 01:10:17.510543+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-100.0,mdot-six,5.2
2021-06-11 01:15:21.394300+00:00,0.36,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-99.0,mdot-six,5.8
2021-06-11 01:20:25.250324+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-105.0,mdot-six,3.5
2021-06-11 01:25:29.130872+00:00,0.36,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-103.0,mdot-six,6.2
2021-06-11 01:30:32.999661+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-99.0,mdot-six,5.8
2021-06-11 01:35:36.886643+00:00,0.35,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-101.0,mdot-six,5.8
2021-06-11 01:40:40.754426+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-115.0,mdot-six,5.8
2021-06-11 01:45:44.624029+00:00,0.36,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-107.0,mdot-six,5.2
2021-06-11 01:50:48.501894+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-111.0,mdot-six,4.8
2021-06-11 01:55:52.368697+00:00,0.36,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-105.0,mdot-six,5.0
2021-06-11 02:00:56.242881+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-113.0,mdot-six,3.8
2021-06-11 02:06:00.120580+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-107.0,mdot-six,4.8
2021-06-11 02:11:03.991197+00:00,0.36,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-115.0,mdot-six,2.8
2021-06-11 02:16:07.863125+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-111.0,mdot-six,2.5
2021-06-11 02:21:11.736465+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-109.0,mdot-six,4.2
2021-06-11 02:26:15.620763+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-100.0,mdot-six,6.0
2021-06-11 02:31:19.487044+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-117.0,mdot-six,3.5
2021-06-11 02:36:23.357042+00:00,0.35,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-99.0,mdot-six,5.0
2021-06-11 02:41:27.330644+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-111.0,mdot-six,3.2
2021-06-11 02:46:31.111001+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-102.0,mdot-six,4.8
2021-06-11 02:51:34.983823+00:00,0.35,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-107.0,mdot-six,4.8
2021-06-11 02:56:38.857231+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-106.0,mdot-six,3.2
2021-06-11 03:01:42.729559+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-111.0,mdot-six,6.5
2021-06-11 03:06:46.599494+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-99.0,mdot-six,6.8
2021-06-11 03:11:50.475947+00:00,0.36,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-105.0,mdot-six,5.0
2021-06-11 03:16:54.350048+00:00,0.36,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-102.0,mdot-six,3.8
2021-06-11 03:21:58.229025+00:00,0.36,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-109.0,mdot-six,4.5
2021-06-11 03:27:01.664792+00:00,0.36,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-101.0,mdot-six,5.5
2021-06-11 03:32:05.548817+00:00,0.36,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-105.0,mdot-six,5.8
2021-06-11 03:37:09.418361+00:00,0.35,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-100.0,mdot-six,6.8
2021-06-11 03:42:13.287963+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-103.0,mdot-six,6.2
2021-06-11 03:47:17.160615+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-101.0,mdot-six,5.5
2021-06-11 03:52:21.038448+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-102.0,mdot-six,4.5
2021-06-11 03:57:24.915563+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-97.0,mdot-six,6.8
2021-06-11 04:02:28.799662+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-100.0,mdot-six,4.5
2021-06-11 04:07:32.671158+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-103.0,mdot-six,4.2
2021-06-11 04:12:36.535318+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-108.0,mdot-six,5.0
2021-06-11 04:17:40.407295+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-113.0,mdot-six,3.0
2021-06-11 04:22:44.283721+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-113.0,mdot-six,4.0
2021-06-11 04:27:48.164583+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-109.0,mdot-six,4.0
2021-06-11 04:32:52.029849+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-109.0,mdot-six,5.2
2021-06-11 04:37:55.902789+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-103.0,mdot-six,6.2
2021-06-11 04:42:59.777459+00:00,0.38,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-105.0,mdot-six,4.5
2021-06-11 04:48:03.647280+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-105.0,mdot-six,3.5
2021-06-11 04:53:07.527499+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-109.0,mdot-six,5.8
2021-06-11 04:58:11.392168+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-107.0,mdot-six,5.0
2021-06-11 05:03:15.269606+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-109.0,mdot-six,4.0
2021-06-11 05:08:19.146853+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-100.0,mdot-six,4.2
2021-06-11 05:13:23.016321+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-107.0,mdot-six,5.5
2021-06-11 05:18:26.889836+00:00,0.36,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-105.0,mdot-six,6.0
2021-06-11 05:23:30.772358+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-107.0,mdot-six,7.0
2021-06-11 05:28:34.639809+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-101.0,mdot-six,6.2
2021-06-11 05:33:38.513785+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-101.0,mdot-six,4.2
2021-06-11 05:38:42.388659+00:00,0.36,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-99.0,mdot-six,4.0
2021-06-11 05:43:46.256999+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-107.0,mdot-six,1.8
2021-06-11 05:48:50.128300+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-96.0,mdot-six,4.8
2021-06-11 05:53:54.009697+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-107.0,mdot-six,5.8
2021-06-11 05:58:57.882677+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-102.0,mdot-six,6.2
2021-06-11 06:04:01.750819+00:00,0.38,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-102.0,mdot-six,6.5
2021-06-11 06:09:05.628912+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-102.0,mdot-six,4.8
2021-06-11 06:14:09.497631+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-100.0,mdot-six,7.0
2021-06-11 06:19:13.371222+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-97.0,mdot-six,4.5
2021-06-11 06:24:17.244917+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-102.0,mdot-six,5.8
2021-06-11 06:29:21.117886+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-99.0,mdot-six,4.8
2021-06-11 06:34:24.993079+00:00,0.36,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-109.0,mdot-six,3.5
2021-06-11 06:39:28.869027+00:00,0.38,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-103.0,mdot-six,6.5
2021-06-11 06:44:32.738417+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-99.0,mdot-six,4.8
2021-06-11 06:49:36.609285+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-100.0,mdot-six,5.0
2021-06-11 06:54:40.481370+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-115.0,mdot-six,4.5
2021-06-11 06:59:44.364542+00:00,0.38,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-105.0,mdot-six,4.5
2021-06-11 07:04:48.241433+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-113.0,mdot-six,2.5
2021-06-11 07:09:51.668413+00:00,0.38,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-112.0,mdot-six,1.0
2021-06-11 07:14:55.543511+00:00,0.38,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-109.0,mdot-six,5.5
2021-06-11 07:19:59.414886+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-101.0,mdot-six,5.0
2021-06-11 07:25:03.295046+00:00,0.38,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-108.0,mdot-six,4.5
2021-06-11 07:30:07.167386+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-102.0,mdot-six,4.2
2021-06-11 07:35:11.036001+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-109.0,mdot-six,6.0
2021-06-11 07:40:14.903814+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-103.0,mdot-six,4.8
2021-06-11 07:45:18.783793+00:00,0.38,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-115.0,mdot-six,5.8
2021-06-11 07:50:22.656705+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-106.0,mdot-six,3.5
2021-06-11 07:55:26.527548+00:00,0.38,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-113.0,mdot-six,3.8
2021-06-11 08:00:29.971827+00:00,0.39,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-103.0,mdot-six,5.2
2021-06-11 08:05:33.837845+00:00,0.87,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-115.0,mdot-six,7.0
2021-06-11 08:10:37.707157+00:00,0.39,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-106.0,mdot-six,2.2
2021-06-11 08:15:41.584679+00:00,0.39,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-111.0,mdot-six,4.2
2021-06-11 08:20:45.449801+00:00,1.07,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-106.0,mdot-six,3.5
2021-06-11 08:25:49.341345+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-102.0,mdot-six,6.0
2021-06-11 08:30:53.196272+00:00,0.78,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-102.0,mdot-six,6.0
2021-06-11 08:35:57.076413+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-101.0,mdot-six,5.0
2021-06-11 08:41:00.939605+00:00,0.38,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-111.0,mdot-six,4.5
2021-06-11 08:46:04.810393+00:00,0.38,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-111.0,mdot-six,4.5
2021-06-11 08:51:08.684449+00:00,0.39,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-105.0,mdot-six,2.0
2021-06-11 08:56:12.567286+00:00,0.39,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-109.0,mdot-six,3.2
2021-06-11 09:01:16.431803+00:00,0.38,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-99.0,mdot-six,6.0
2021-06-11 09:06:20.308916+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-107.0,mdot-six,5.0
2021-06-11 09:11:24.186142+00:00,0.65,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-113.0,mdot-six,-5.5
2021-06-11 09:16:28.051875+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-105.0,mdot-six,7.2
2021-06-11 09:21:31.926443+00:00,0.38,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-103.0,mdot-six,5.2
2021-06-11 09:26:35.812432+00:00,0.39,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-113.0,mdot-six,5.5
2021-06-11 09:31:39.668738+00:00,0.8,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-103.0,mdot-six,0.0
2021-06-11 09:36:43.541560+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-106.0,mdot-six,3.2
2021-06-11 09:41:47.421523+00:00,0.38,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-103.0,mdot-six,6.0
2021-06-11 09:46:51.287210+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-96.0,mdot-six,5.8
2021-06-11 09:51:54.735125+00:00,0.38,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-108.0,mdot-six,-4.8
2021-06-11 09:56:58.611492+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-102.0,mdot-six,4.8
2021-06-11 10:02:02.486737+00:00,0.65,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-100.0,mdot-six,6.0
2021-06-11 10:07:05.926485+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-104.0,mdot-six,3.0
2021-06-11 10:12:09.799957+00:00,0.39,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-97.0,mdot-six,6.0
2021-06-11 10:17:13.670491+00:00,0.38,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-103.0,mdot-six,2.5
2021-06-11 10:22:17.546245+00:00,0.38,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-107.0,mdot-six,4.5
2021-06-11 10:27:21.424842+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-101.0,mdot-six,5.0
2021-06-11 10:32:25.294749+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-111.0,mdot-six,-5.8
2021-06-11 10:37:29.173458+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-103.0,mdot-six,4.0
2021-06-11 10:42:33.041016+00:00,0.38,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-100.0,mdot-six,4.0
2021-06-11 10:47:36.913369+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-113.0,mdot-six,0.5
2021-06-11 10:52:40.791731+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-103.0,mdot-six,4.0
2021-06-11 10:57:44.666706+00:00,0.38,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-101.0,mdot-six,5.2
2021-06-11 11:02:48.535799+00:00,0.38,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-113.0,mdot-six,-3.5
2021-06-11 11:07:52.410717+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-105.0,mdot-six,2.5
2021-06-11 11:12:56.285299+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-102.0,mdot-six,3.8
2021-06-11 11:18:00.159313+00:00,0.61,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-106.0,mdot-six,2.2
2021-06-11 11:23:04.033243+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-103.0,mdot-six,4.5
2021-06-11 11:28:07.912749+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-100.0,mdot-six,1.0
2021-06-11 11:33:11.777168+00:00,0.47,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-106.0,mdot-six,5.8
2021-06-11 11:38:15.656381+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-97.0,mdot-six,3.2
2021-06-11 11:43:19.533421+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-105.0,mdot-six,4.8
2021-06-11 11:48:23.404180+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-96.0,mdot-six,6.8
2021-06-11 11:53:27.283187+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-103.0,mdot-six,5.0
2021-06-11 11:58:31.155169+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-101.0,mdot-six,5.0
2021-06-11 12:03:35.022935+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-102.0,mdot-six,5.5
2021-06-11 12:08:38.897117+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-103.0,mdot-six,3.8
2021-06-11 12:13:42.767868+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-106.0,mdot-six,1.5
2021-06-11 12:18:46.647467+00:00,0.38,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-102.0,mdot-six,5.8
2021-06-11 12:23:50.520515+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-107.0,mdot-six,-1.8
2021-06-11 12:28:54.388563+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-94.0,mdot-six,5.8
2021-06-11 12:33:58.261729+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-102.0,mdot-six,4.5
2021-06-11 12:39:01.704262+00:00,0.58,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-100.0,mdot-six,5.2
2021-06-11 12:44:05.586194+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-98.0,mdot-six,6.2
2021-06-11 12:49:09.448365+00:00,1.08,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-107.0,mdot-six,-1.8
2021-06-11 12:54:13.325640+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-100.0,mdot-six,6.2
2021-06-11 12:59:16.772070+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-96.0,mdot-six,6.2
2021-06-11 13:04:20.643457+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-102.0,mdot-six,6.0
2021-06-11 13:09:24.519090+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-98.0,mdot-six,6.8
2021-06-11 13:14:28.391746+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-108.0,mdot-six,5.0
2021-06-11 13:19:32.261073+00:00,0.38,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-107.0,mdot-six,-1.0
2021-06-11 13:24:36.128224+00:00,0.38,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-107.0,mdot-six,3.5
2021-06-11 13:29:40.005086+00:00,0.38,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-102.0,mdot-six,5.5
2021-06-11 13:34:43.875474+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-102.0,mdot-six,6.0
2021-06-11 13:39:47.748119+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-106.0,mdot-six,4.8
2021-06-11 13:44:51.621660+00:00,0.38,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-111.0,mdot-six,3.5
2021-06-11 13:49:55.493713+00:00,0.38,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-104.0,mdot-six,2.5
2021-06-11 13:54:59.366295+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-100.0,mdot-six,3.5
2021-06-11 14:00:03.240024+00:00,0.37,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-109.0,mdot-six,5.0
2021-06-11 14:05:07.115259+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-99.0,mdot-six,4.2
2021-06-11 14:10:10.986494+00:00,0.38,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-101.0,mdot-six,5.2
